"B01003_001E","B01003_001M","GEO_ID","NAME"
"Estimate!!Total","Margin of Error!!Total","id","Geographic Area Name"
"53701","62","8600000US02151","ZCTA5 02151"
"18542","24","8600000US02152","ZCTA5 02152"
"59735","309","8600000US02155","ZCTA5 02155"
"2621","449","8600000US02163","ZCTA5 02163"
"56523","853","8600000US02169","ZCTA5 02169"
"19848","990","8600000US02170","ZCTA5 02170"
"17836","893","8600000US02171","ZCTA5 02171"
"28113","56","8600000US02176","ZCTA5 02176"
"23223","27","8600000US02180","ZCTA5 02180"
"37220","49","8600000US02184","ZCTA5 02184"
"27572","34","8600000US02186","ZCTA5 02186"
"15831","881","8600000US02188","ZCTA5 02188"
"15296","795","8600000US02189","ZCTA5 02189"
"17247","729","8600000US02190","ZCTA5 02190"
"8360","429","8600000US02191","ZCTA5 02191"
"1157","275","8600000US02199","ZCTA5 02199"
"30","25","8600000US02203","ZCTA5 02203"
"3715","461","8600000US02210","ZCTA5 02210"
"25770","1299","8600000US02215","ZCTA5 02215"
"63420","1083","8600000US02301","ZCTA5 02301"
"32174","1086","8600000US02302","ZCTA5 02302"
"4500","20","8600000US02322","ZCTA5 02322"
"27436","27","8600000US02324","ZCTA5 02324"
"11720","30","8600000US02330","ZCTA5 02330"
"15812","22","8600000US02332","ZCTA5 02332"
"14466","54","8600000US02333","ZCTA5 02333"
"7842","16","8600000US02338","ZCTA5 02338"
"14459","21","8600000US02339","ZCTA5 02339"
"10777","33","8600000US02341","ZCTA5 02341"
"10423","941","8600000US02343","ZCTA5 02343"
"24802","64","8600000US02346","ZCTA5 02346"
"11420","78","8600000US02347","ZCTA5 02347"
"16436","36","8600000US02351","ZCTA5 02351"
"13312","535","8600000US02356","ZCTA5 02356"
"1061","239","8600000US02357","ZCTA5 02357"
"18380","30","8600000US02359","ZCTA5 02359"
"59826","48","8600000US02360","ZCTA5 02360"
"13566","42","8600000US02364","ZCTA5 02364"
"198","41","8600000US02366","ZCTA5 02366"
"2954","28","8600000US02367","ZCTA5 02367"
"34686","948","8600000US02368","ZCTA5 02368"
"17953","39","8600000US02370","ZCTA5 02370"
"10248","536","8600000US02375","ZCTA5 02375"
"7198","50","8600000US02379","ZCTA5 02379"
"15056","28","8600000US02382","ZCTA5 02382"
