"B19083_001E","B19083_001M","GEO_ID","NAME"
"Estimate!!Gini Index","Margin of Error!!Gini Index","id","Geographic Area Name"
"-","**","8600000US00936","ZCTA5 00936"
"0.4708","0.0161","8600000US00949","ZCTA5 00949"
"-","**","8600000US00950","ZCTA5 00950"
"-","**","8600000US00951","ZCTA5 00951"
"0.4794","0.0344","8600000US00952","ZCTA5 00952"
"0.5031","0.0197","8600000US00953","ZCTA5 00953"
"0.4815","0.0197","8600000US00956","ZCTA5 00956"
"0.4810","0.0149","8600000US00957","ZCTA5 00957"
"0.4929","0.0244","8600000US00959","ZCTA5 00959"
"-","**","8600000US00960","ZCTA5 00960"
"0.5144","0.0228","8600000US00961","ZCTA5 00961"
"0.5547","0.0260","8600000US00962","ZCTA5 00962"
"0.5111","0.0472","8600000US00965","ZCTA5 00965"
"0.5382","0.0289","8600000US00966","ZCTA5 00966"
"0.5556","0.0438","8600000US00968","ZCTA5 00968"
"0.5510","0.0279","8600000US00969","ZCTA5 00969"
"0.5125","0.0320","8600000US00971","ZCTA5 00971"
"0.4871","0.0151","8600000US00976","ZCTA5 00976"
"0.5178","0.0437","8600000US00979","ZCTA5 00979"
"0.4589","0.0257","8600000US00982","ZCTA5 00982"
"0.4785","0.0404","8600000US00983","ZCTA5 00983"
"0.4396","0.0171","8600000US00985","ZCTA5 00985"
"0.4676","0.0190","8600000US00987","ZCTA5 00987"
"0.4185","0.0282","8600000US01001","ZCTA5 01001"
"0.5556","0.0573","8600000US01002","ZCTA5 01002"
"0.8261","0.4064","8600000US01003","ZCTA5 01003"
"0.3693","0.0450","8600000US01005","ZCTA5 01005"
"0.3895","0.0347","8600000US01007","ZCTA5 01007"
"0.3460","0.0365","8600000US01008","ZCTA5 01008"
"0.3383","0.1795","8600000US01009","ZCTA5 01009"
"0.4826","0.0586","8600000US01010","ZCTA5 01010"
"0.3733","0.0471","8600000US01011","ZCTA5 01011"
"0.3786","0.0532","8600000US01012","ZCTA5 01012"
"0.4591","0.0291","8600000US01013","ZCTA5 01013"
"0.4228","0.0225","8600000US01020","ZCTA5 01020"
"0.3445","0.0414","8600000US01022","ZCTA5 01022"
"0.3711","0.0475","8600000US01026","ZCTA5 01026"
"0.3800","0.0203","8600000US01027","ZCTA5 01027"
"0.4413","0.0358","8600000US01028","ZCTA5 01028"
"0.3713","0.0735","8600000US01029","ZCTA5 01029"
"0.4181","0.0341","8600000US01030","ZCTA5 01030"
"0.4208","0.0561","8600000US01031","ZCTA5 01031"
"0.3551","0.0513","8600000US01032","ZCTA5 01032"
"0.4077","0.0525","8600000US01033","ZCTA5 01033"
"0.3678","0.0412","8600000US01034","ZCTA5 01034"
"0.5033","0.1208","8600000US01035","ZCTA5 01035"
"0.3487","0.0312","8600000US01036","ZCTA5 01036"
"0.3293","0.0820","8600000US01037","ZCTA5 01037"
"0.4081","0.0445","8600000US01038","ZCTA5 01038"
"0.3877","0.0728","8600000US01039","ZCTA5 01039"
"0.5013","0.0258","8600000US01040","ZCTA5 01040"
"0.3793","0.0466","8600000US01050","ZCTA5 01050"
"0.4672","0.0534","8600000US01053","ZCTA5 01053"
"0.4642","0.0490","8600000US01054","ZCTA5 01054"
"0.4061","0.0208","8600000US01056","ZCTA5 01056"
"0.4390","0.0642","8600000US01057","ZCTA5 01057"
"0.4740","0.0230","8600000US01060","ZCTA5 01060"
"0.4601","0.0355","8600000US01062","ZCTA5 01062"
"-","**","8600000US01063","ZCTA5 01063"
"-","**","8600000US01066","ZCTA5 01066"
"0.3612","0.0294","8600000US01068","ZCTA5 01068"
"0.4074","0.0226","8600000US01069","ZCTA5 01069"
"0.4558","0.0585","8600000US01070","ZCTA5 01070"
"0.3194","0.0572","8600000US01071","ZCTA5 01071"
"0.3516","0.0333","8600000US01072","ZCTA5 01072"
"0.4320","0.0504","8600000US01073","ZCTA5 01073"
"0.1539","0.2084","8600000US01074","ZCTA5 01074"
"0.4549","0.0391","8600000US01075","ZCTA5 01075"
"0.4191","0.0323","8600000US01077","ZCTA5 01077"
"0.5251","0.1780","8600000US01079","ZCTA5 01079"
"0.3410","0.0646","8600000US01080","ZCTA5 01080"
"0.3826","0.0353","8600000US01081","ZCTA5 01081"
"0.3998","0.0299","8600000US01082","ZCTA5 01082"
"0.4218","0.0684","8600000US01083","ZCTA5 01083"
"0.3754","0.1048","8600000US01084","ZCTA5 01084"
"0.4180","0.0191","8600000US01085","ZCTA5 01085"
"-","**","8600000US01086","ZCTA5 01086"
"0.4056","0.1197","8600000US01088","ZCTA5 01088"
"0.4663","0.0215","8600000US01089","ZCTA5 01089"
"0.3935","0.0954","8600000US01092","ZCTA5 01092"
"0.4819","0.2088","8600000US01093","ZCTA5 01093"
"0.4419","0.0841","8600000US01094","ZCTA5 01094"
"0.4521","0.0456","8600000US01095","ZCTA5 01095"
"0.4102","0.0482","8600000US01096","ZCTA5 01096"
"0.1757","0.1911","8600000US01097","ZCTA5 01097"
"0.3848","0.0479","8600000US01098","ZCTA5 01098"
"0.5394","0.0509","8600000US01103","ZCTA5 01103"
"0.4547","0.0263","8600000US01104","ZCTA5 01104"
"0.5169","0.0433","8600000US01105","ZCTA5 01105"
"0.4520","0.0408","8600000US01106","ZCTA5 01106"
"0.5204","0.0272","8600000US01107","ZCTA5 01107"
"0.4665","0.0239","8600000US01108","ZCTA5 01108"
"0.4808","0.0229","8600000US01109","ZCTA5 01109"
"0.4249","0.0385","8600000US01118","ZCTA5 01118"
"0.4288","0.0363","8600000US01119","ZCTA5 01119"
"0.3958","0.0647","8600000US01128","ZCTA5 01128"
"0.4306","0.0445","8600000US01129","ZCTA5 01129"
"0.3962","0.0247","8600000US01151","ZCTA5 01151"
"-","**","8600000US01199","ZCTA5 01199"
"0.4597","0.0240","8600000US01201","ZCTA5 01201"
"0.4596","0.0441","8600000US01220","ZCTA5 01220"
"0.2816","0.0785","8600000US01222","ZCTA5 01222"
"0.4924","0.0778","8600000US01223","ZCTA5 01223"
"0.5552","0.1304","8600000US01224","ZCTA5 01224"
"0.3549","0.0444","8600000US01225","ZCTA5 01225"
"0.4116","0.0386","8600000US01226","ZCTA5 01226"
"0.5296","0.1448","8600000US01229","ZCTA5 01229"
"0.4516","0.0397","8600000US01230","ZCTA5 01230"
"0.3687","0.0342","8600000US01235","ZCTA5 01235"
"0.4687","0.0942","8600000US01236","ZCTA5 01236"
"0.3861","0.0559","8600000US01237","ZCTA5 01237"
"0.3931","0.0481","8600000US01238","ZCTA5 01238"
"0.4745","0.0333","8600000US01240","ZCTA5 01240"
