"GEO_ID","P002001","P002002","P002003","P002004","P002005","P002006","NAME"
"id","Total","Total!!Urban","Total!!Urban!!Inside urbanized areas","Total!!Urban!!Inside urban clusters","Total!!Rural","Total!!Not defined for this file","Geographic Area Name"
"8600000US00795","48736","45396","45320","76","3340","0","ZCTA5 00795"
"8600000US00901","7080","7080","7080","0","0","0","ZCTA5 00901"
"8600000US00906","4","4","4","0","0","0","ZCTA5 00906"
"8600000US00907","17458","17458","17458","0","0","0","ZCTA5 00907"
"8600000US00909","6230","6230","6230","0","0","0","ZCTA5 00909"
"8600000US00911","8623","8623","8623","0","0","0","ZCTA5 00911"
"8600000US00912","6801","6801","6801","0","0","0","ZCTA5 00912"
"8600000US00913","9312","9312","9312","0","0","0","ZCTA5 00913"
"8600000US00915","32820","32820","32820","0","0","0","ZCTA5 00915"
"8600000US00917","21053","21053","21053","0","0","0","ZCTA5 00917"
"8600000US00918","18056","18056","18056","0","0","0","ZCTA5 00918"
"8600000US00920","17893","17893","17893","0","0","0","ZCTA5 00920"
"8600000US00921","37763","37763","37763","0","0","0","ZCTA5 00921"
"8600000US00923","29086","29086","29086","0","0","0","ZCTA5 00923"
"8600000US00924","56691","56691","56691","0","0","0","ZCTA5 00924"
"8600000US00925","8696","8696","8696","0","0","0","ZCTA5 00925"
"8600000US00926","108862","108862","108862","0","0","0","ZCTA5 00926"
"8600000US00927","14936","14936","14936","0","0","0","ZCTA5 00927"
"8600000US00934","288","288","288","0","0","0","ZCTA5 00934"
"8600000US00936","681","681","681","0","0","0","ZCTA5 00936"
"8600000US00949","82278","82278","82278","0","0","0","ZCTA5 00949"
"8600000US00950","9","0","0","0","9","0","ZCTA5 00950"
"8600000US00951","35","35","35","0","0","0","ZCTA5 00951"
"8600000US00952","10008","10008","10008","0","0","0","ZCTA5 00952"
"8600000US00953","73014","73014","73014","0","0","0","ZCTA5 00953"
"8600000US00956","79304","79280","79280","0","24","0","ZCTA5 00956"
"8600000US00957","45680","45680","45680","0","0","0","ZCTA5 00957"
"8600000US00959","50560","50560","50560","0","0","0","ZCTA5 00959"
"8600000US00960","1779","1779","1779","0","0","0","ZCTA5 00960"
"8600000US00961","32429","32429","32429","0","0","0","ZCTA5 00961"
"8600000US00962","22491","22487","22487","0","4","0","ZCTA5 00962"
"8600000US00965","9134","9134","9134","0","0","0","ZCTA5 00965"
"8600000US00966","16676","16676","16676","0","0","0","ZCTA5 00966"
"8600000US00968","3478","3478","3478","0","0","0","ZCTA5 00968"
"8600000US00969","42219","42219","42219","0","0","0","ZCTA5 00969"
"8600000US00971","30986","30982","30982","0","4","0","ZCTA5 00971"
"8600000US00976","65136","65136","65136","0","0","0","ZCTA5 00976"
"8600000US00979","17030","17030","17030","0","0","0","ZCTA5 00979"
"8600000US00982","16428","16428","16428","0","0","0","ZCTA5 00982"
"8600000US00983","39234","39234","39234","0","0","0","ZCTA5 00983"
"8600000US00985","36553","36481","36481","0","72","0","ZCTA5 00985"
"8600000US00987","63661","63443","63443","0","218","0","ZCTA5 00987"
"8600000US01001","16769","16684","16684","0","85","0","ZCTA5 01001"
"8600000US01002","29049","25560","25560","0","3489","0","ZCTA5 01002"
"8600000US01003","10372","10372","10372","0","0","0","ZCTA5 01003"
"8600000US01005","5079","0","0","0","5079","0","ZCTA5 01005"
"8600000US01007","14649","5915","5915","0","8734","0","ZCTA5 01007"
"8600000US01008","1263","0","0","0","1263","0","ZCTA5 01008"
"8600000US01009","741","630","630","0","111","0","ZCTA5 01009"
"8600000US01010","3609","0","0","0","3609","0","ZCTA5 01010"
"8600000US01011","1370","0","0","0","1370","0","ZCTA5 01011"
"8600000US01012","661","0","0","0","661","0","ZCTA5 01012"
"8600000US01013","23188","23188","23188","0","0","0","ZCTA5 01013"
"8600000US01020","29668","29668","29668","0","0","0","ZCTA5 01020"
"8600000US01022","2451","2451","2451","0","0","0","ZCTA5 01022"
"8600000US01026","946","0","0","0","946","0","ZCTA5 01026"
"8600000US01027","17660","15417","15417","0","2243","0","ZCTA5 01027"
"8600000US01028","15720","15436","15436","0","284","0","ZCTA5 01028"
"8600000US01029","789","0","0","0","789","0","ZCTA5 01029"
"8600000US01030","11669","10402","10402","0","1267","0","ZCTA5 01030"
"8600000US01031","1308","408","0","408","900","0","ZCTA5 01031"
"8600000US01032","570","0","0","0","570","0","ZCTA5 01032"
"8600000US01033","6227","3380","3380","0","2847","0","ZCTA5 01033"
"8600000US01034","2021","0","0","0","2021","0","ZCTA5 01034"
"8600000US01035","5250","3125","2806","319","2125","0","ZCTA5 01035"
"8600000US01036","5109","2684","2684","0","2425","0","ZCTA5 01036"
"8600000US01037","838","0","0","0","838","0","ZCTA5 01037"
"8600000US01038","2545","0","0","0","2545","0","ZCTA5 01038"
"8600000US01039","1336","395","395","0","941","0","ZCTA5 01039"
"8600000US01040","39880","39444","39444","0","436","0","ZCTA5 01040"
"8600000US01050","2530","68","68","0","2462","0","ZCTA5 01050"
"8600000US01053","1685","1254","1254","0","431","0","ZCTA5 01053"
"8600000US01054","1851","0","0","0","1851","0","ZCTA5 01054"
"8600000US01056","21103","18627","18627","0","2476","0","ZCTA5 01056"
"8600000US01057","8534","2317","2317","0","6217","0","ZCTA5 01057"
"8600000US01060","15284","14258","14258","0","1026","0","ZCTA5 01060"
"8600000US01062","11150","9975","9975","0","1175","0","ZCTA5 01062"
"8600000US01063","430","430","430","0","0","0","ZCTA5 01063"
"8600000US01066","64","0","0","0","64","0","ZCTA5 01066"
"8600000US01068","1902","0","0","0","1902","0","ZCTA5 01068"
"8600000US01069","8469","6428","6428","0","2041","0","ZCTA5 01069"
"8600000US01070","629","0","0","0","629","0","ZCTA5 01070"
"8600000US01071","1596","455","455","0","1141","0","ZCTA5 01071"
"8600000US01072","1478","0","0","0","1478","0","ZCTA5 01072"
"8600000US01073","5792","1107","1107","0","4685","0","ZCTA5 01073"
"8600000US01074","319","0","0","0","319","0","ZCTA5 01074"
"8600000US01075","17527","16949","16949","0","578","0","ZCTA5 01075"
"8600000US01077","9502","5023","5023","0","4479","0","ZCTA5 01077"
"8600000US01079","692","426","426","0","266","0","ZCTA5 01079"
"8600000US01080","2334","2334","2334","0","0","0","ZCTA5 01080"
"8600000US01081","1698","0","0","0","1698","0","ZCTA5 01081"
"8600000US01082","10322","6560","6","6554","3762","0","ZCTA5 01082"
"8600000US01083","2888","1502","0","1502","1386","0","ZCTA5 01083"
"8600000US01084","176","0","0","0","176","0","ZCTA5 01084"
"8600000US01085","41117","37649","37649","0","3468","0","ZCTA5 01085"
"8600000US01086","687","687","687","0","0","0","ZCTA5 01086"
"8600000US01088","670","0","0","0","670","0","ZCTA5 01088"
"8600000US01089","28391","27877","27877","0","514","0","ZCTA5 01089"
"8600000US01092","1394","638","0","638","756","0","ZCTA5 01092"
"8600000US01093","325","0","0","0","325","0","ZCTA5 01093"
"8600000US01094","351","0","0","0","351","0","ZCTA5 01094"
"8600000US01095","14319","12387","12387","0","1932","0","ZCTA5 01095"
"8600000US01096","2217","0","0","0","2217","0","ZCTA5 01096"
"8600000US01097","111","65","65","0","46","0","ZCTA5 01097"
"8600000US01098","1101","0","0","0","1101","0","ZCTA5 01098"
"8600000US01103","2479","2479","2479","0","0","0","ZCTA5 01103"
"8600000US01104","22865","22865","22865","0","0","0","ZCTA5 01104"
"8600000US01105","12350","12350","12350","0","0","0","ZCTA5 01105"
"8600000US01106","16021","16021","16021","0","0","0","ZCTA5 01106"
"8600000US01107","11611","11611","11611","0","0","0","ZCTA5 01107"
"8600000US01108","26688","26688","26688","0","0","0","ZCTA5 01108"
"8600000US01109","30250","30250","30250","0","0","0","ZCTA5 01109"
"8600000US01118","14071","14071","14071","0","0","0","ZCTA5 01118"
"8600000US01119","14152","14152","14152","0","0","0","ZCTA5 01119"
"8600000US01128","2631","2631","2631","0","0","0","ZCTA5 01128"
"8600000US01129","7019","7019","7019","0","0","0","ZCTA5 01129"
"8600000US01151","8698","8698","8698","0","0","0","ZCTA5 01151"
"8600000US01199","0","0","0","0","0","0","ZCTA5 01199"
"8600000US01201","46504","43110","43110","0","3394","0","ZCTA5 01201"
"8600000US01220","8603","7565","7565","0","1038","0","ZCTA5 01220"
"8600000US01222","829","0","0","0","829","0","ZCTA5 01222"
"8600000US01223","2314","0","0","0","2314","0","ZCTA5 01223"
"8600000US01224","182","182","182","0","0","0","ZCTA5 01224"
"8600000US01225","3117","1689","1689","0","1428","0","ZCTA5 01225"
"8600000US01226","6945","4892","4892","0","2053","0","ZCTA5 01226"
"8600000US01229","95","0","0","0","95","0","ZCTA5 01229"
"8600000US01230","8430","3607","0","3607","4823","0","ZCTA5 01230"
"8600000US01235","2766","588","588","0","2178","0","ZCTA5 01235"
