"B19013_001E","B19013_001M","GEO_ID","NAME"
"Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","id","Geographic Area Name"
"24972","4360","8600000US00971","ZCTA5 00971"
"31729","1939","8600000US00976","ZCTA5 00976"
"33087","3808","8600000US00979","ZCTA5 00979"
"25360","2414","8600000US00982","ZCTA5 00982"
"26385","2657","8600000US00983","ZCTA5 00983"
"27560","1749","8600000US00985","ZCTA5 00985"
"32596","2997","8600000US00987","ZCTA5 00987"
"66088","8372","8600000US01001","ZCTA5 01001"
"60540","13265","8600000US01002","ZCTA5 01002"
"-","**","8600000US01003","ZCTA5 01003"
"80060","22230","8600000US01005","ZCTA5 01005"
"94812","7380","8600000US01007","ZCTA5 01007"
"78988","14658","8600000US01008","ZCTA5 01008"
"72644","26945","8600000US01009","ZCTA5 01009"
"75577","22495","8600000US01010","ZCTA5 01010"
"71921","3530","8600000US01011","ZCTA5 01011"
"73750","8104","8600000US01012","ZCTA5 01012"
"46007","6328","8600000US01013","ZCTA5 01013"
"58909","5284","8600000US01020","ZCTA5 01020"
"43525","6116","8600000US01022","ZCTA5 01022"
"71000","6719","8600000US01026","ZCTA5 01026"
"66339","7343","8600000US01027","ZCTA5 01027"
"90579","5852","8600000US01028","ZCTA5 01028"
"92361","16316","8600000US01029","ZCTA5 01029"
"79713","7023","8600000US01030","ZCTA5 01030"
"45549","10090","8600000US01031","ZCTA5 01031"
"81875","23286","8600000US01032","ZCTA5 01032"
"101886","17916","8600000US01033","ZCTA5 01033"
"90625","13250","8600000US01034","ZCTA5 01034"
"86690","16267","8600000US01035","ZCTA5 01035"
"94393","8945","8600000US01036","ZCTA5 01036"
"83036","41961","8600000US01037","ZCTA5 01037"
"85449","15327","8600000US01038","ZCTA5 01038"
"94256","14637","8600000US01039","ZCTA5 01039"
"42537","2870","8600000US01040","ZCTA5 01040"
"73839","18959","8600000US01050","ZCTA5 01050"
"50357","30721","8600000US01053","ZCTA5 01053"
"93942","15131","8600000US01054","ZCTA5 01054"
"73516","6514","8600000US01056","ZCTA5 01056"
"77156","13194","8600000US01057","ZCTA5 01057"
"67356","8564","8600000US01060","ZCTA5 01060"
"76959","9590","8600000US01062","ZCTA5 01062"
"-","**","8600000US01063","ZCTA5 01063"
"-","**","8600000US01066","ZCTA5 01066"
"85326","5821","8600000US01068","ZCTA5 01068"
"66920","13617","8600000US01069","ZCTA5 01069"
"63750","17801","8600000US01070","ZCTA5 01070"
"81058","14270","8600000US01071","ZCTA5 01071"
"81042","9064","8600000US01072","ZCTA5 01072"
"104052","20260","8600000US01073","ZCTA5 01073"
"88775","22116","8600000US01074","ZCTA5 01074"
"73601","9957","8600000US01075","ZCTA5 01075"
"84896","13323","8600000US01077","ZCTA5 01077"
"32963","27765","8600000US01079","ZCTA5 01079"
"78576","10808","8600000US01080","ZCTA5 01080"
"74375","6934","8600000US01081","ZCTA5 01081"
"58131","6623","8600000US01082","ZCTA5 01082"
"78252","36986","8600000US01083","ZCTA5 01083"
"71875","19981","8600000US01084","ZCTA5 01084"
"74784","4248","8600000US01085","ZCTA5 01085"
"-","**","8600000US01086","ZCTA5 01086"
"42111","25596","8600000US01088","ZCTA5 01088"
"54516","4455","8600000US01089","ZCTA5 01089"
"60396","24123","8600000US01092","ZCTA5 01092"
"97083","42907","8600000US01093","ZCTA5 01093"
"-","**","8600000US01094","ZCTA5 01094"
"111487","13031","8600000US01095","ZCTA5 01095"
"81447","8977","8600000US01096","ZCTA5 01096"
"63750","14845","8600000US01097","ZCTA5 01097"
"81875","6056","8600000US01098","ZCTA5 01098"
"17736","4438","8600000US01103","ZCTA5 01103"
"40884","4451","8600000US01104","ZCTA5 01104"
"21875","2070","8600000US01105","ZCTA5 01105"
"123644","7809","8600000US01106","ZCTA5 01106"
