"GEO_ID","NAME","P001001","P001002","P001003","P001004","P001005","P001006","P001007","P001008","P001009","P001010","P001011","P001012","P001013","P001014","P001015","P001016","P001017","P001018","P001019","P001020","P001021","P001022","P001023","P001024","P001025","P001026","P001027","P001028","P001029","P001030","P001031","P001032","P001033","P001034","P001035","P001036","P001037","P001038","P001039","P001040","P001041","P001042","P001043","P001044","P001045","P001046","P001047","P001048","P001049","P001050","P001051","P001052","P001053","P001054","P001055","P001056","P001057","P001058","P001059","P001060","P001061","P001062","P001063","P001064","P001065","P001066","P001067","P001068","P001069","P001070","P001071"
"id","Geographic Area Name","Total","Total!!Population of one race","Total!!Population of one race!!White alone","Total!!Population of one race!!Black or African American alone","Total!!Population of one race!!American Indian and Alaska Native alone","Total!!Population of one race!!Asian alone","Total!!Population of one race!!Native Hawaiian and Other Pacific Islander alone","Total!!Population of one race!!Some Other Race alone","Total!!Two or More Races","Total!!Two or More Races!!Population of two races","Total!!Two or More Races!!Population of two races!!White; Black or African American","Total!!Two or More Races!!Population of two races!!White; American Indian and Alaska Native","Total!!Two or More Races!!Population of two races!!White; Asian","Total!!Two or More Races!!Population of two races!!White; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!White; Some Other Race","Total!!Two or More Races!!Population of two races!!Black or African American; American Indian and Alaska Native","Total!!Two or More Races!!Population of two races!!Black or African American; Asian","Total!!Two or More Races!!Population of two races!!Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!Black or African American; Some Other Race","Total!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of two races!!Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of two races!!Asian; Some Other Race","Total!!Two or More Races!!Population of two races!!Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races","Total!!Two or More Races!!Population of three races!!White; Black or African American; American Indian and Alaska Native","Total!!Two or More Races!!Population of three races!!White; Black or African American; Asian","Total!!Two or More Races!!Population of three races!!White; Black or African American; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!White; Black or African American; Some Other Race","Total!!Two or More Races!!Population of three races!!White; American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of three races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!White; American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of three races!!White; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!White; Asian; Some Other Race","Total!!Two or More Races!!Population of three races!!White; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races!!Black or African American; American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of three races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!Black or African American; American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of three races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!Black or African American; Asian; Some Other Race","Total!!Two or More Races!!Population of three races!!Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of three races!!American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of three races!!American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of three races!!Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races","Total!!Two or More Races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Asian","Total!!Two or More Races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!White; Black or African American; American Indian and Alaska Native; Some Other Race","Total!!Two or More Races!!Population of four races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!White; Black or African American; Asian; Some Other Race","Total!!Two or More Races!!Population of four races!!White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!White; American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of four races!!White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of four races!!Black or African American; American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of four races!!Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of four races!!American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races","Total!!Two or More Races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander","Total!!Two or More Races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race","Total!!Two or More Races!!Population of five races!!White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races!!White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races!!White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of five races!!Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race","Total!!Two or More Races!!Population of six races","Total!!Two or More Races!!Population of six races!!White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race"
"0100000US","United States","308745538(r38234)","299736465","223553265","38929319","2932248","14674252","540013","19107368","9009073","8265318","1834212","1432309","1623234","169991","1740924","269421","185595","50308","314571","58829","11039","115752","165690","234462","58981","676469","230848","61511","9245","46641","45960","8656","30941","143126","35786","9181","9460","2142","8236","7295","8122","4233","3827","3785","2000","5474","57875","19018","2673","8757","4852","2420","560","11500","1535","454","3486","1011","539","212","574","284","8619","6605","1023","182","268","443","98","792","792"
